trade_date,setup_type,trade_hour,trades,wins,losses,winrate,profit,roi,profit_factor
2026-06-12,balanced_rebound,6,2,2,0,100.0,1.7,85.0,0.0
2026-06-12,balanced_rebound,8,2,2,0,100.0,1.72,86.0,0.0
2026-06-12,balanced_rebound,9,7,1,6,14.29,-5.14,-73.43,0.14
2026-06-12,balanced_rebound,10,9,1,8,11.11,-7.14,-79.33,0.11
2026-06-12,balanced_rebound,11,2,2,0,100.0,1.72,86.0,0.0
2026-06-12,balanced_rebound,12,2,2,0,100.0,1.72,86.0,0.0
2026-06-12,balanced_rebound,13,5,2,3,40.0,-1.28,-25.6,0.57
2026-06-12,balanced_rebound,14,2,0,2,0.0,-2.0,-100.0,0.0
2026-06-12,balanced_rebound,16,4,2,2,50.0,-0.28,-7.0,0.86
2026-06-12,balanced_rebound,17,4,4,0,100.0,3.42,85.5,0.0
2026-06-12,balanced_rebound,18,2,0,2,0.0,-2.0,-100.0,0.0
2026-06-12,balanced_rebound,19,7,3,4,42.86,-1.42,-20.29,0.65
2026-06-12,balanced_rebound,20,7,2,5,28.57,-3.28,-46.86,0.34
2026-06-12,balanced_rebound,21,9,1,8,11.11,-7.14,-79.33,0.11
2026-06-12,balanced_rebound,22,8,6,2,75.0,3.16,39.5,2.58
2026-06-12,extreme_reversion,1,1,1,0,100.0,0.85,85.0,0.0
2026-06-12,extreme_reversion,2,14,9,5,64.29,2.65,18.93,1.53
2026-06-12,extreme_reversion,3,11,4,7,36.36,-3.6,-32.73,0.49
2026-06-12,extreme_reversion,4,20,4,16,20.0,-12.6,-63.0,0.21
2026-06-12,extreme_reversion,5,12,4,8,33.33,-4.6,-38.33,0.43
2026-06-12,extreme_reversion,9,9,6,3,66.67,2.14,23.78,1.71
2026-06-12,extreme_reversion,10,17,7,10,41.18,-2.04,-12.0,0.75
2026-06-12,extreme_reversion,11,1,0,1,0.0,-1.0,-100.0,0.0
2026-06-12,extreme_reversion,12,1,0,1,0.0,-1.0,-100.0,0.0
2026-06-12,extreme_reversion,13,3,2,1,66.67,0.72,24.0,1.72
